0xE869B2E8, bo4_practice
0x607FEE8, __init__sytem__
0xAD5512EB, __init__
0xB1576288, init_clientfields
0x3315F045, init_flags
0x43959107, init_settings
0xD441E14F, json_add
0xE8C59A34, json_get
0x47299C5, json_from_path
0x9284135D, init
0x88584A95, on_connect
0x348AF419, on_spawned
0x7555E59, empty_func
0xC3A506DC, detour_a3d98f47-fc33-4466-a643-831325412dbe
0xF9DF92F, zm_orange_ee_misc
0x7635AFEE, trinket_quest
0x8FBBB8A4, detour_a00d3558-9f2e-4c82-9503-e57577113f01
0x8260C80E, mansion_boss_ww
0x6891F987, detour_92bcd312-7817-4f31-b5b1-45b2956b45a0
0x46DEA953, detour_7631022c-e761-4dba-9499-842417974ea6
0x2CDDA23D, zm_mansion_get_pap_ghost
0x23DCFA0E, zm_mansion_get_pap_clock
0x37390FB7, zm_mansion_get_pap_vamps
0x50C9A776, detour_a08d0490-614d-4eb6-ab6d-42c2bb1caafd
0xB8F22955, mansion_pap
0x29B86B20, detour_67bcbb7d-0837-42b2-a623-570112b2490e
0xACC48864, detour_ce547afb-0673-4562-a586-6a0c4354b3c0
0xD221EE16, detour_2a0730fc-7c60-4942-afd3-00ef4b70080f
0x834E6250, zm_utility
0xE51DC2D8, is_ee_enabled
0xE8BD5BDF, detour_5dcc373a-f7fa-40a6-a53a-1c862245848a
0x4719C045, zm_ai_werewolf
0x75064C7, mini_boss_hud_add
0xD01E00A0, mini_boss_reorder
0x2AB6DED0, mini_boss_hud_damage
0x44BAED4D, mini_boss_hud_death
0x410943D6, add_new_objective
0x28D9F24E, release_obj_on_death
0xE39CAC00, zm_escape_challenge_setup
0xD8309D48, zm_escape_birds_setup
0xFE956F6F, watch_skulls
0x51AF048B, print_birds
0xA2E411AC, print_coords
0xADD491BD, print_zone
0xE21BECD5, paschal_step_1
0xCFE54868, paschal_step_2
0xCFC64826, paschal_step_4
0x16AAE569, activate_and_move_pap
0x19DF3AF7, print_vec
0x2A6C1650, zm_escape_quest_init
0x8FA1B98E, zm_escape_practice
0xA5890806, zm_mansion_boss_setup
0x8C67ADCB, monitor_boss_hud
0x2FD30C69, zm_mansion_lamps_setup
0x272E4BE9, greenhouse_lockdown_step_4_lamps
0x8E72A26F, zm_mansion_lockdown_setup
0xE4C1A278, greenhouse_lockdown_step_4
0x4D4FC832, greenhouse_wave_1
0x9CA3DB53, wait_transform_add_obj
0x72B49307, greenhouse_wave_3
0x3EE46AD9, cemetery_lockdown_step_3
0x760136, cemetery_defend
0x7955C350, cemetery_wave_1
0x6EFFAEA4, cemetery_wave_2
0x5CB10A07, cemetery_wave_3
0x4267D575, cemetery_wave_4
0xEACC00E4, forest_lockdown_step_4
0x68A397A0, forest_assault
0xFC800B73, zm_mansion_quest_init
0xBD3D5444, zm_mansion_practice
0xBB65846E, zm_mansion_scratches_init
0xD8B0D82E, zm_mansion_wicker_ghost_init
0xD8AB2758, zm_mansion_ww_lvl3_quest_init
0xDA778466, zm_white_boss_setup
0x322ADDD4, start_timer_after_delay
0xA35B2292, wait_for_boss_complete
0xA834294, zm_white_tp_to_console
0xDCC0E601, zm_white_wait_then_start_step8
0x1CAC6AC, monitor_coords
0x82459E05, zm_white_quest_init
0x1BBED1D3, zm_white_practice
0xC8798B67, zm_zodt8_free_kraken_helper
0x45766156, berths_walk_monitor
0x8DBEBC47, zm_zodt8_practice
0x636BB8BF, init_box_patch
0x160BACEE, init_player_box_override
0x6977F180, custom_box_odds
0x414A84D1, towers_box_reset
0x25CB1BE6, zodt8_box_reset
0x7ABDD4EB, camera_set_position
0xB4E973FF, camera_toggle
0x12D18579, noclip_bind
0x98E56B2F, player_noclip
0xA49C5ED, init_keys
0x90C0B8B4, wait_key_str
0x5A61D4AF, wait_key
0xEAF3C79A, monitor_menu_responses
0x721205C6, perkaholic
0x1F24CE04, activate_perk_slot
0x45490BB0, godmode
0x8A006F06, infinite_ammo
0x8F79D50E, override_quest
0x80AF820A, get_player_by_name
0x9935C80, get_player_by_character_slot
0xA7F66713, craft_parts
0x8753F2B1, zombie_open_sesame
0x89708BDE, goto_round
0xB0923738, zombie_counter_run
0xDAC0824C, register
0x3641C11C, undefined
0xE90FD9B0, system
0x9DE6AA7C, compiler
0x4EB63B8A, gettime
0x9C3BDFFA, level
0x4D0D4F6A, on_start_gametype
0x7DAB3BB8, callback
0xC4B5765C, clientfield
0x3DEFE655, flag
0xCFF3E691, n_result
0xF1DD3F68, shieldlog
0xCD7DE90A, shieldfromjson
0xE3562CC3, patch_settings
0x99E49F55, isdefined
0x53BBF9D2, get_map_name
0x6BBA65DA, util
0xF42D8C7F, map
0xC787678D, enabled
0x116FCC50, patch
0x65762449, timer
0x1FBDADF5, zombie_counter
0xA070BA11, b_godmode_enabled
0x120BF4E1, b_infinite_ammo_enabled
0x5430BAF1, set
0xAB57F370, exists
0xFF7848D1, wait_till
0xF5B5552C, notify
0xDF68E424, filename
0xA1889065, json_structs
0xC7E37ABE, json_path
0x90FADE40, 91584b60-0b85-4579-b6ba-2379e8efee60
0x6D716172, e64e3b00-8d4f-44b6-bfbc-a6ed68a7152a
0xC67BF4D5, 42c8650a-b0ed-4c3c-a24d-3560dd5b6998
0x7F538561, 3ffc77cb-4e4a-4ad3-baa2-0cf8f7f1e773
0x6C25F13, token
0x4663FF4E, json
0x28A72621, tokens
0xAEBD513B, strtok
0x8180B8D3, dbf244c7-2440-4281-9d27-2fe335e92aa4
0x9B42093D, endon
0x6B66F156, setdvar
0x6C596CE3, setgametypesetting
0xEF35F995, af031309-2a98-4d5f-8992-2321559320e9
0xA38987F8, 020d1718-48ef-4d3f-ac56-c74c9c225e81
0xD0D2008B, d3e0a81c-d27b-413f-a497-8767f0f7b588
0x2B2BC5A9, 7ecedb7f-e537-433f-a090-d886b6d756cb
0x7B5EF4DA, istestclient
0xF1CA5EF1, self
0xB9AA4B11, talisman_special_startlv2
0xF7ECB2EE, 56710705-b069-4ecc-8b40-39d93753eee3
0x8003BCC6, set_world_uimodel
0xD38910D5, arg1
0x46E477C6, arg2
0xCFEF4B38, @
0x5839811B, n_stage
0xB69824C2, 4a40e4a5-db44-43c6-8314-07df868f5ece
0x2052A3BB, luinotifyevent
0x4A4C1D5B, int
0xD7F18C34, s_boss
0xBBFB1F4E, c411dda0-ea8f-42c1-979a-51cd9b52acdb
0xDB3F562B, ae571296-8e1d-4e60-871f-0665b85f7b1f
0x2B030B57, a6536758-8490-4bb4-8392-99e97454c10e
0x63AA3771, 75da355e-fc64-4b3c-a919-9e727ab0aa5c
0x74408125, player
0xD7E2B54D, a_players
0x7AF438EC, settings
0x60895C83, zm_mansion
0x5E1C830, boss_health_scaling
0x501DF2A9, get_active_players
0x2012C955, min
0x9C7DB714, waittill
0xF4122EAD, a69c4828-e8cf-4d50-a451-824108202069
0xFEA6EC54, 838cf7c7-716f-4e1b-98d2-ab93afaa308f
0xBBA1345C, 74d314f7-5152-4208-aba4-bdcc40c9adfd
0x42ED011D, e2321764-9192-4dec-ba2a-c56c37891056
0x7AFD04DC, ai_nosferatu
0xB86BA4AC, 294af6ef-a477-4067-a12c-5818aa362681
0xA925C5E4, n_max_active_ai
0xC8E3140A, n_round
0x8196336F, get_array
0xB413418A, struct
0x8302B711, true
0x1C7498E9, randomfloatrange
0x481B983D, getaiteamarray
0x263C04C7, zombie_team
0x4A0F1DFF, wait_network_frame
0x769D7E4F, boss_cleanup_zombie
0x2FA8319F, zm_ai_nosferatu
0x64DE298A, isalive
0xD55AF815, enemy_markers
0x2D7DEF5C, getaiarchetypearray
0xDBC2FA24, get
0xF0FB858A, n_crystal
0x6C3C61AE, 35130d2f-a813-457a-8e4e-c0272a9e02f5
0xB96023CB, a_trophy_ghosts
0xE506114, a_painting_ghosts
0xE692952E, pap
0x3E72E11A, ghosts
0x13736E63, essex
0xA8FB37D4, shield
0x17B75FFF, strife
0xC2AC2662, scratches
0x35D66C7D, doll
0xE87314A9, noose
0x3BE6EE2C, will
0x479F5412, str_hint
0x6CE0DC7C, random
0x9096AE65, array
0x365D682A, a_clocks
0x25EEC255, clocks
0xFE55026C, billiards
0x73AEA172, dining
0xFB7D78F8, main
0xDBEDF7AC, a_vamps
0xB26D3053, vamp_lockdown
0xAAA4B541, cemetery
0x60B473D5, greenhouse
0x31C4C16D, ent
0x2589AC55, n_souls_required
0x73D04234, getplayers
0xE439C71A, script_string
0xBCB61858, getent
0xA94C19C1, create
0xAA2255BE, zm_unitrigger
0x65D72EF4, a_str_zones
0xD678CDCB, mdl_key
0xE774E5F4, s_loc
0x48607E17, zm_mansion_sound
0xA46FB584, vol_transform
0x81F75D17, a_mini_bosses
0x452EE761, n_id
0x36DF771A, maxhealth
0xE714C0CB, health
0x4DE83A6D, ai_mini_boss
0x63DF85B2, n_index
0xDE5715C4, arrayremovevalue
0x922B6202, objective
0xAFC874F2, str_waittill
0x4AD93446, get_next_obj_id
0xF68935B9, gameobjects
0x97DF45F3, n_obj_id
0xC8A2070A, objective_state
0xB4BB1FA9, objective_add
0xBB3BD0B3, objective_onentity
0x6D1FFCB2, objective_setstate
0xDD79E9C6, waittill_any_ents
0x6403D8A5, release_obj_id
0x24FA164A, e213cd3d-2dbc-40d2-8726-c0d1c6b5b917
0x41AA1562, da15ce98-1815-4099-87e7-cdd2cec54986
0xBC50A89C, 412f14e1-ffc7-475d-adca-13db1aa83ffe
0xB6DA38F, e1113980-50b9-4d5b-bcf4-70cad936a3da
0x29D84102, 5c8f9b58-ac92-4c1d-9745-609e993ac561
0xB3EF64E7, 28206225-2de8-49bd-ab8a-158c095c9a2e
0x52AEF05, 6c698821-6eac-42a4-bffe-3241b0509610
0xDEE57CCD, f31b5cab-e655-48ad-84f7-9b632c111b12
0x733063D, 9ddd8496-fe07-4f4f-867d-9f3fbae7707b
0xE1F855BF, 976039a7-612a-4fe0-a0db-d6da3fd58b70
0x3BDBB4, 267997d6-4420-4ec9-8317-8a0d3f548b23
0xE4493C4E, a6bfaa11-5e32-4b5b-98e1-3060443d3f4c
0x8946E9BA, bgb
0xF10356EB, old_bgb_func
0x6479CA14, ab0943a8-dd95-44c4-9fd6-dd1f2a18fb82
0xA563FF33, 42b96d8b-2d07-4496-b3fc-0254b7fbeeae
0x44AAE459, 665117e0-a73e-4bc6-ada1-7f330c6820d7
0x55541E23, 3692bc99-d257-48af-bcd9-6e26192ff8de
0x708F9E96, dog
0x1252B9BD, n_kills_needed
0x8B6557B, round
0x4B727CD5, 14dda937-a10e-4cea-b976-2d801f0de700
0x73F3D986, 83d83f35-0127-4297-a364-928d1b31f464
0x96881E1D, 8543f948-9909-440c-8bd9-35ade7772ccd
0xABDD01C0, 005bd277-7f98-447a-aa67-ba0921833365
0x9FE758BC, t_catwalk_event
0x2D5E6253, 3d65c654-6cb5-4f6f-91d9-701740b23627
0xA08A9C87, 27a25891-e956-44d0-a6f5-2426c7fafa79
0x5B404039, cb43b5ea-52a6-4de1-813c-5453237d00ec
0x76A5DDD2, 33c47ea5-3151-427f-a8ab-999a00aa6a78
0xC0146081, ai_zombie
0x86B5BA4E, ae88f529-daba-4eef-bbcc-e6b9f23218c0
0x5EA347BF, 44751c80-3467-4967-8f00-4fc87c1428b4
0x7DE5E05B, 3b87168c-17a4-4336-bbd3-bb5b7ded41e8
0x1E525093, 4c5e0d64-745e-485d-b283-4342852cc989
0xF2C99E09, weapon
0x61F222E, iprintlnbold
0xCA1F020F, score
0xE466115, zm_perks
0xC70571D8, getweaponslistprimaries
0xF8F78A5F, takeweapon
0xC64E36CE, weapon_give
0xBF7AEA06, getweapon
0x18D600C7, zm_weapons
0x84311E85, gadgetpowerset
0xCC228CB8, giveweapon
0x33D24A0C, clamp
0x6C08393F, math
